PassengerId,Survived
892,1
893,0
894,0
895,1
896,0
897,0
898,0
899,1
900,1
901,0
902,0
903,1
904,0
905,0
906,0
907,0
908,1
909,1
910,0
911,0
912,1
913,0
914,0
915,1
916,0
917,0
918,0
919,1
920,1
921,1
922,1
923,1
924,0
925,0
926,1
927,1
928,0
929,0
930,0
931,0
932,0
933,1
934,0
935,0
936,1
937,0
938,1
939,1
940,0
941,0
942,1
943,1
944,0
945,0
946,1
947,0
948,1
949,0
950,1
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,1
959,1
960,0
961,0
962,1
963,0
964,0
965,1
966,0
967,1
968,0
969,0
970,1
971,1
972,0
973,1
974,1
975,0
976,1
977,0
978,1
979,1
980,0
981,1
982,0
983,0
984,0
985,0
986,1
987,0
988,1
989,0
990,0
991,1
992,1
993,0
994,1
995,0
996,0
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,1
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,0
1072,1
1073,1
1074,0
1075,1
1076,1
1077,1
1078,0
1079,0
1080,0
1081,1
1082,1
1083,1
1084,1
1085,0
1086,1
1087,1
1088,1
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,1
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,0
1106,0
1107,1
1108,0
1109,1
1110,1
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,0
1132,0
1133,1
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,1
1147,0
1148,1
1149,1
1150,0
1151,1
1152,1
1153,1
1154,0
1155,1
1156,1
1157,0
1158,1
1159,0
1160,0
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,0
1168,1
1169,1
1170,1
1171,1
1172,0
1173,1
1174,0
1175,1
1176,1
1177,1
1178,0
1179,1
1180,1
1181,0
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,1
1189,1
1190,1
1191,0
1192,0
1193,1
1194,1
1195,0
1196,0
1197,0
1198,0
1199,0
1200,1
1201,0
1202,1
1203,1
1204,0
1205,0
1206,0
1207,0
1208,1
1209,1
1210,1
1211,1
1212,0
1213,0
1214,0
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,0
1222,1
1223,1
1224,1
1225,1
1226,0
1227,1
1228,1
1229,0
1230,1
1231,1
1232,1
1233,0
1234,0
1235,0
1236,1
1237,0
1238,0
1239,0
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,0
1250,1
1251,0
1252,0
1253,0
1254,1
1255,1
1256,1
1257,0
1258,0
1259,1
1260,0
1261,1
1262,1
1263,0
1264,1
1265,1
1266,1
1267,0
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,0
1275,0
1276,0
1277,0
1278,1
1279,0
1280,0
1281,0
1282,1
1283,0
1284,1
1285,1
1286,0
1287,0
1288,1
1289,0
1290,1
1291,0
1292,0
1293,1
1294,0
1295,1
1296,1
1297,1
1298,1
1299,1
1300,0
1301,1
1302,0
1303,1
1304,0
1305,0
1306,0
1307,0
1308,0
1309,1
